seed,success_rate,peak_vram_gb,avg_step_latency_ms,e2e_loop_rate_hz,wall_time_sec,exit_code,run_dir,task_success_rates
0,40.0000,7.698,1314.976265,0.760470,6837.874328,0,./outputs/week1_baseline_lock/week1_baseline_lock_20260427_202017/seed_0,libero_10:0=0.0000;libero_10:1=70.0000;libero_10:2=30.0000;libero_10:3=90.0000;libero_10:4=0.0000;libero_10:5=80.0000;libero_10:6=70.0000;libero_10:7=60.0000;libero_10:8=0.0000;libero_10:9=40.0000
1,50.0000,7.698,1286.277859,0.777437,6688.648376,0,./outputs/week1_baseline_lock/week1_baseline_lock_20260427_202017/seed_1,libero_10:0=10.0000;libero_10:1=70.0000;libero_10:2=40.0000;libero_10:3=90.0000;libero_10:4=0.0000;libero_10:5=90.0000;libero_10:6=60.0000;libero_10:7=50.0000;libero_10:8=0.0000;libero_10:9=50.0000
2,50.0000,7.698,1352.120598,0.739579,7031.031330,0,./outputs/week1_baseline_lock/week1_baseline_lock_20260427_202017/seed_2,libero_10:0=30.0000;libero_10:1=50.0000;libero_10:2=40.0000;libero_10:3=80.0000;libero_10:4=0.0000;libero_10:5=70.0000;libero_10:6=70.0000;libero_10:7=20.0000;libero_10:8=10.0000;libero_10:9=50.0000
