seed,success_rate,peak_vram_gb,avg_step_latency_ms,e2e_loop_rate_hz,wall_time_sec,exit_code,run_dir,eval_s,eval_ep_s,task_success_rates
0,45.0000,8.347,1392.633526,0.718064,7241.696571,0,/home/swagat/lerobot/outputs/week2_visual_prompting/week2_visual_prompting_20260428_211045/seed_0,7208.876775,72.088768,libero_10:0=0.0000;libero_10:1=70.0000;libero_10:2=40.0000;libero_10:3=90.0000;libero_10:4=10.0000;libero_10:5=60.0000;libero_10:6=40.0000;libero_10:7=50.0000;libero_10:8=30.0000;libero_10:9=60.0000
1,42.0000,8.347,1363.986660,0.733145,7092.726470,0,/home/swagat/lerobot/outputs/week2_visual_prompting/week2_visual_prompting_20260428_211045/seed_1,7061.631649,70.616316,libero_10:0=10.0000;libero_10:1=70.0000;libero_10:2=50.0000;libero_10:3=90.0000;libero_10:4=0.0000;libero_10:5=60.0000;libero_10:6=60.0000;libero_10:7=40.0000;libero_10:8=10.0000;libero_10:9=30.0000
2,49.0000,8.347,1327.762044,0.753147,6904.366234,0,/home/swagat/lerobot/outputs/week2_visual_prompting/week2_visual_prompting_20260428_211045/seed_2,6872.774952,68.727750,libero_10:0=30.0000;libero_10:1=50.0000;libero_10:2=30.0000;libero_10:3=100.0000;libero_10:4=30.0000;libero_10:5=80.0000;libero_10:6=70.0000;libero_10:7=30.0000;libero_10:8=10.0000;libero_10:9=60.0000
