seed,success_rate,peak_vram_gb,avg_step_latency_ms,e2e_loop_rate_hz,wall_time_sec,exit_code,run_dir,eval_s,eval_ep_s,task_success_rates
0,44.0000,8.346,2062.285136,0.484899,10723.882478,0,/home/swagat/lerobot/outputs/week2_visual_prompting/week2_visual_prompting_20260502_003117/seed_0,10690.267015,106.902670,libero_10:0=0.0000;libero_10:1=70.0000;libero_10:2=30.0000;libero_10:3=90.0000;libero_10:4=10.0000;libero_10:5=80.0000;libero_10:6=80.0000;libero_10:7=30.0000;libero_10:8=20.0000;libero_10:9=30.0000
1,44.0000,8.346,2036.805068,0.490965,10591.386915,0,/home/swagat/lerobot/outputs/week2_visual_prompting/week2_visual_prompting_20260502_003117/seed_1,10559.680194,105.596802,libero_10:0=10.0000;libero_10:1=70.0000;libero_10:2=70.0000;libero_10:3=100.0000;libero_10:4=0.0000;libero_10:5=80.0000;libero_10:6=50.0000;libero_10:7=30.0000;libero_10:8=0.0000;libero_10:9=30.0000
2,50.0000,8.346,2012.493560,0.496896,10464.959921,0,/home/swagat/lerobot/outputs/week2_visual_prompting/week2_visual_prompting_20260502_003117/seed_2,10432.911011,104.329110,libero_10:0=30.0000;libero_10:1=50.0000;libero_10:2=50.0000;libero_10:3=80.0000;libero_10:4=20.0000;libero_10:5=90.0000;libero_10:6=90.0000;libero_10:7=30.0000;libero_10:8=10.0000;libero_10:9=50.0000
