seed,grounding_freq,box_style,success_rate,peak_vram_gb,avg_step_latency_ms,e2e_loop_rate_hz,wall_time_sec,exit_code,run_dir,eval_s,eval_ep_s,task_success_rates
0,1,mask,44.0000,8.346,1422.778687,0.702850,7398.453113,0,/home/swagat/lerobot/outputs/week4_stage2_eval/week4_stage2_eval_20260506_215345/freq_1_style_mask/seed_0,7363.759906,73.637599,libero_10:0=0.0000;libero_10:1=70.0000;libero_10:2=30.0000;libero_10:3=90.0000;libero_10:4=0.0000;libero_10:5=60.0000;libero_10:6=50.0000;libero_10:7=50.0000;libero_10:8=10.0000;libero_10:9=80.0000
1,1,mask,46.0000,8.346,1366.043705,0.732041,7103.424170,0,/home/swagat/lerobot/outputs/week4_stage2_eval/week4_stage2_eval_20260506_215345/freq_1_style_mask/seed_1,7070.875415,70.708754,libero_10:0=10.0000;libero_10:1=70.0000;libero_10:2=40.0000;libero_10:3=90.0000;libero_10:4=0.0000;libero_10:5=90.0000;libero_10:6=60.0000;libero_10:7=50.0000;libero_10:8=0.0000;libero_10:9=50.0000
2,1,mask,48.0000,8.346,1368.279184,0.730845,7115.056472,0,/home/swagat/lerobot/outputs/week4_stage2_eval/week4_stage2_eval_20260506_215345/freq_1_style_mask/seed_2,7082.094764,70.820948,libero_10:0=30.0000;libero_10:1=50.0000;libero_10:2=50.0000;libero_10:3=100.0000;libero_10:4=20.0000;libero_10:5=70.0000;libero_10:6=70.0000;libero_10:7=20.0000;libero_10:8=30.0000;libero_10:9=40.0000
