seed,grounding_freq,box_style,task_group,task_id,task_success_rate
0,1,mask,libero_10,0,0.0000
0,1,mask,libero_10,1,70.0000
0,1,mask,libero_10,2,30.0000
0,1,mask,libero_10,3,90.0000
0,1,mask,libero_10,4,0.0000
0,1,mask,libero_10,5,60.0000
0,1,mask,libero_10,6,50.0000
0,1,mask,libero_10,7,50.0000
0,1,mask,libero_10,8,10.0000
0,1,mask,libero_10,9,80.0000
1,1,mask,libero_10,0,10.0000
1,1,mask,libero_10,1,70.0000
1,1,mask,libero_10,2,40.0000
1,1,mask,libero_10,3,90.0000
1,1,mask,libero_10,4,0.0000
1,1,mask,libero_10,5,90.0000
1,1,mask,libero_10,6,60.0000
1,1,mask,libero_10,7,50.0000
1,1,mask,libero_10,8,0.0000
1,1,mask,libero_10,9,50.0000
2,1,mask,libero_10,0,30.0000
2,1,mask,libero_10,1,50.0000
2,1,mask,libero_10,2,50.0000
2,1,mask,libero_10,3,100.0000
2,1,mask,libero_10,4,20.0000
2,1,mask,libero_10,5,70.0000
2,1,mask,libero_10,6,70.0000
2,1,mask,libero_10,7,20.0000
2,1,mask,libero_10,8,30.0000
2,1,mask,libero_10,9,40.0000
